ID,Label,Parent,Equivalent Class,has characteristic,Definition,term editor,has cross-reference
OLAS:5463811,129-Atm<tm2.1Fwa>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5463811
OLAS:3054560,129-Atp6v0c<tm1Hka>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3054560
OLAS:4941883,129.B6-Adamts13<s>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:4941883
OLAS:5320429,129(B6)-Apoe<tm1Bres> Plg<tm1Jld>/CljH[cc],laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5320429
OLAS:5447559,129(B6)-Arl6<tm2Vcs>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5447559
OLAS:3691869,129(B6)-Ccni<tm1Jro>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:3691869
OLAS:3789581,129.B6-Cys1<cpk>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3789581
OLAS:5696626,129;B6-Dbx1<tm1(cre/ERT2)Jcor>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5696626
OLAS:6771522,129;B6-Ddc<tm1.1Rhrs>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6771522
OLAS:5430310,"129;B6-Del(10Grin3b-Tmem259)1Zang Tg(Prnp-Tmem259,-EGFP)6Zhang/J",laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5430310
OLAS:5568412,129(B6)-Ep300<tm3Pkb>/J,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5568412
OLAS:6842947,129;B6-Fmod<tm1Aol>/SooJ,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6842947
OLAS:5810685,129(B6)-Gpx1<tm1Ysh> Gpx2<tm2Coh>(N5-N10),laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5810685
OLAS:7840399,129(B6)-Grem2<tm1Akh>/Vu,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7840399
OLAS:3697587,129.B6-Gv2<a> Gv1<a>/Rbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:3697587
OLAS:7381148,129;B6-Hbb-bs<em12Gpt>/Gpt,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7381148
OLAS:7381149,129;B6-Hbb-bs<em7Gpt> Hbb-bt<em1Gpt>/Gpt,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7381149
OLAS:6148914,129.B6-Hmox1<tm1Gkl>/Flmg,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6148914
OLAS:2177569,129(B6)-Il10<tm1Cgn>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:2177569
OLAS:5445939,129(B6)-Insl5<tm1Imad>,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5445939
OLAS:5285872,129(B6)-Lcn2<tm1Mrgr>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5285872
OLAS:5312858,129.B6-Myo7a<sh1-11J>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5312858
OLAS:6353017,129;B6N-Ess2<tm1.1Nbioc>/NbiocRbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6353017
OLAS:4879968,129(B6)-Nr1h2<tm1Djm>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:4879968
OLAS:6379217,129;B6-Otx2<tm2(cre/ERT2)Tlam>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6379217
OLAS:6379213,129;B6-Otx2<tm3Tlam>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6379213
OLAS:6770424,129;B6-Pias4<em1Yfj>/Yfj,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6770424
OLAS:6147033,129;B6-Prdm13<tm1.1Tfur>/Rbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6147033
OLAS:6147266,129;B6-Prdm13<tm1.2Tfur>/Rbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6147266
OLAS:6143639,129(B6)-Ryr1<tm2.1Alle>/Mmucd,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6143639
OLAS:5570106,129(B6)-Scn4a<tm1.1Ljh>/Mmmh,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5570106
OLAS:5320436,129(B6)-Serpine1<tm1Mlg> Apoe<tm1Bres>/CljH[cc],laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5320436
OLAS:3588749,129.B6-Ses1a<C57BL/6J>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3588749
OLAS:3588750,129.B6-Ses1b<C57BL/6J>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3588750
OLAS:6460326,129;B6-Slc6a19<tm1Tac>/Tac,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6460326
OLAS:5522848,129(B6)-Tgm2<tm1.1Rmgr>,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5522848
OLAS:5430313,"129;B6-Tg(Prnp-Tmem259,-EGFP)6Zhang/J",laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:5430313
OLAS:6121762,129(B6)-Thy1<tm1Rjmo>/H,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6121762
OLAS:6144762,129(B6)-Zfp318<tm1Hhag>/Rbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6144762
OLAS:4360318,129-Bcar3<tm1Lern>,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:4360318
OLAS:3761643,129-Bcl11a<tm1Ngc>/Rbrc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3761643
OLAS:6144847,129-Blm<tm1Khor>/KhorRbrc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6144847
OLAS:3699356,129-Braf<tm1Sva>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3699356
OLAS:2177786,129-Brca1<tm2Arge>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2177786
OLAS:6335994,129;CAST/EiJ-Dll1<em2.1(Dll4)Gos>/Gos,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6335994
OLAS:6336000,129;CAST/EiJ-Dll1<em3.1(Dll4)Gos>/Gos,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6336000
