ID,Label,inSubset,Parent,animal name,model organism,pathogen_name,model for pathogen,disease name,model for disease,Definition,term editor,seeAlso
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C % SPLIT=|,,C 'model organism' some % SPLIT=|,,C 'animal model for pathogen' value % SPLIT=|,,C 'animal model for disease' value % SPLIT=|,A definition,A term editor SPLIT=|,A rdfs:seeAlso SPLIT=|
OLAS:0000110,vaccine animal model,vaccine animal model,laboratory animal model,,,,,,,,Oliver He|Jie Zheng|Leo Yeh,
OLAS:0000111,Borrelia burgdorferi vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Borrelia burgdorferi,NCBITaxon:139,,,Vaccine animal model that uses mouse for research of vaccine against Borrelia burgdorferi.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=135#Vaccine_Information
OLAS:0000112,Treponema pallidum vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Treponema pallidum,NCBITaxon:160,,,Vaccine animal model that uses guinea pig for research of vaccine against Treponema pallidum.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=141#Vaccine_Information
OLAS:0000113,Treponema pallidum vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Treponema pallidum,NCBITaxon:160,,,Vaccine animal model that uses rabbit for research of vaccine against Treponema pallidum.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=141#Vaccine_Information
OLAS:0000114,Leptospira vaccine hamster animal model,vaccine animal model,vaccine animal model,hamster,NCBITaxon:10036,Leptospira,NCBITaxon:171,,,Vaccine animal model that uses hamster for research of vaccine against Leptospira.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=195#Vaccine_Information
OLAS:0000115,Campylobacter jejuni vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses mouse for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000116,Campylobacter jejuni vaccine chicken animal model,vaccine animal model,vaccine animal model,chicken,NCBITaxon:9031,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses chicken for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000117,Campylobacter jejuni vaccine ferret animal model,vaccine animal model,vaccine animal model,ferret,NCBITaxon:9669,Campylobacter jejuni,NCBITaxon:197,,,Vaccine animal model that uses ferret for research of vaccine against Campylobacter jejuni.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=24#Vaccine_Information
OLAS:0000118,Helicobacter pylori vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Helicobacter pylori,NCBITaxon:210,,,Vaccine animal model that uses mouse for research of vaccine against Helicobacter pylori.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=134#Vaccine_Information
OLAS:0000119,Brucella vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Brucella,NCBITaxon:234,,,Vaccine animal model that uses mouse for research of vaccine against Brucella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=8#Vaccine_Information
OLAS:0000120,Brucella vaccine cattle animal model,vaccine animal model,vaccine animal model,cattle,NCBITaxon:9913,Brucella,NCBITaxon:234,,,Vaccine animal model that uses cattle for research of vaccine against Brucella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=8#Vaccine_Information
OLAS:0000121,Brucella vaccine goat animal model,vaccine animal model,vaccine animal model,goat,NCBITaxon:9925,Brucella,NCBITaxon:234,,,Vaccine animal model that uses goat for research of vaccine against Brucella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=8#Vaccine_Information
OLAS:0000122,Brucella vaccine sheep animal model,vaccine animal model,vaccine animal model,sheep,NCBITaxon:9940,Brucella,NCBITaxon:234,,,Vaccine animal model that uses sheep for research of vaccine against Brucella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=8#Vaccine_Information
OLAS:0000123,Francisella tularensis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Francisella tularensis,NCBITaxon:263,,,Vaccine animal model that uses mouse for research of vaccine against Francisella tularensis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=12#Vaccine_Information
OLAS:0000124,Pseudomonas aeruginosa vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Pseudomonas aeruginosa,NCBITaxon:287,,,Vaccine animal model that uses mouse for research of vaccine against Pseudomonas aeruginosa.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=137#Vaccine_Information
OLAS:0000125,Neisseria meningitidis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Neisseria meningitidis,NCBITaxon:487,,,Vaccine animal model that uses mouse for research of vaccine against Neisseria meningitidis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=46#Vaccine_Information
OLAS:0000126,Neisseria meningitidis vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,Neisseria meningitidis,NCBITaxon:487,,,Vaccine animal model that uses rat for research of vaccine against Neisseria meningitidis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=46#Vaccine_Information
OLAS:0000127,Bordetella bronchiseptica vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Bordetella bronchiseptica,NCBITaxon:518,,,Vaccine animal model that uses mouse for research of vaccine against Bordetella bronchiseptica.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=166#Vaccine_Information
OLAS:0000128,Bordetella bronchiseptica vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Bordetella bronchiseptica,NCBITaxon:518,,,Vaccine animal model that uses guinea pig for research of vaccine against Bordetella bronchiseptica.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=166#Vaccine_Information
OLAS:0000129,Bordetella pertussis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Bordetella pertussis,NCBITaxon:520,,,Vaccine animal model that uses mouse for research of vaccine against Bordetella pertussis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=109#Vaccine_Information
OLAS:0000130,Salmonella vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Salmonella,NCBITaxon:590,,,Vaccine animal model that uses mouse for research of vaccine against Salmonella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=42#Vaccine_Information
OLAS:0000131,Salmonella vaccine chicken animal model,vaccine animal model,vaccine animal model,chicken,NCBITaxon:9031,Salmonella,NCBITaxon:590,,,Vaccine animal model that uses chicken for research of vaccine against Salmonella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=42#Vaccine_Information
OLAS:0000132,Salmonella vaccine pig animal model,vaccine animal model,vaccine animal model,pig,NCBITaxon:9823,Salmonella,NCBITaxon:590,,,Vaccine animal model that uses pig for research of vaccine against Salmonella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=42#Vaccine_Information
OLAS:0000133,Shigella vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Shigella,NCBITaxon:620,,,Vaccine animal model that uses mouse for research of vaccine against Shigella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=43#Vaccine_Information
OLAS:0000134,Shigella vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Shigella,NCBITaxon:620,,,Vaccine animal model that uses guinea pig for research of vaccine against Shigella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=43#Vaccine_Information
OLAS:0000135,Shigella vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Shigella,NCBITaxon:620,,,Vaccine animal model that uses monkey for research of vaccine against Shigella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=43#Vaccine_Information
OLAS:0000136,Shigella vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,Shigella,NCBITaxon:620,,,Vaccine animal model that uses macaque for research of vaccine against Shigella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=43#Vaccine_Information
OLAS:0000137,Shigella vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Shigella,NCBITaxon:620,,,Vaccine animal model that uses rabbit for research of vaccine against Shigella.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=43#Vaccine_Information
OLAS:0000138,Yersinia pestis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Yersinia pestis,NCBITaxon:632,,,Vaccine animal model that uses mouse for research of vaccine against Yersinia pestis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=11#Vaccine_Information
OLAS:0000139,Yersinia pestis vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,Yersinia pestis,NCBITaxon:632,,,Vaccine animal model that uses rat for research of vaccine against Yersinia pestis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=11#Vaccine_Information
OLAS:0000140,Yersinia pestis vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Yersinia pestis,NCBITaxon:632,,,Vaccine animal model that uses guinea pig for research of vaccine against Yersinia pestis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=11#Vaccine_Information
OLAS:0000141,Yersinia pestis vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Yersinia pestis,NCBITaxon:632,,,Vaccine animal model that uses monkey for research of vaccine against Yersinia pestis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=11#Vaccine_Information
OLAS:0000142,Yersinia pestis vaccine dog animal model,vaccine animal model,vaccine animal model,dog,NCBITaxon:9615,Yersinia pestis,NCBITaxon:632,,,Vaccine animal model that uses dog for research of vaccine against Yersinia pestis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=11#Vaccine_Information
OLAS:0000143,Yersinia pseudotuberculosis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Yersinia pseudotuberculosis,NCBITaxon:633,,,Vaccine animal model that uses mouse for research of vaccine against Yersinia pseudotuberculosis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=111#Vaccine_Information
OLAS:0000144,Edwardsiella tarda vaccine fish animal model,vaccine animal model,vaccine animal model,fish,NCBITaxon:117565,Edwardsiella tarda,NCBITaxon:636,,,Vaccine animal model that uses fish for research of vaccine against Edwardsiella tarda.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=209#Vaccine_Information
OLAS:0000145,Aeromonas hydrophila vaccine fish animal model,vaccine animal model,vaccine animal model,fish,NCBITaxon:117565,Aeromonas hydrophila,NCBITaxon:644,,,Vaccine animal model that uses fish for research of vaccine against Aeromonas hydrophila.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=211#Vaccine_Information
OLAS:0000146,Vibrio cholerae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Vibrio cholerae,NCBITaxon:666,,,Vaccine animal model that uses mouse for research of vaccine against Vibrio cholerae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=102#Vaccine_Information
OLAS:0000147,Vibrio cholerae vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Vibrio cholerae,NCBITaxon:666,,,Vaccine animal model that uses rabbit for research of vaccine against Vibrio cholerae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=102#Vaccine_Information
OLAS:0000148,Actinobacillus pleuropneumoniae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Actinobacillus pleuropneumoniae,NCBITaxon:715,,,Vaccine animal model that uses mouse for research of vaccine against Actinobacillus pleuropneumoniae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=86#Vaccine_Information
OLAS:0000149,Actinobacillus pleuropneumoniae vaccine pig animal model,vaccine animal model,vaccine animal model,pig,NCBITaxon:9823,Actinobacillus pleuropneumoniae,NCBITaxon:715,,,Vaccine animal model that uses pig for research of vaccine against Actinobacillus pleuropneumoniae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=86#Vaccine_Information
OLAS:0000150,Haemophilus influenzae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Haemophilus influenzae,NCBITaxon:727,,,Vaccine animal model that uses mouse for research of vaccine against Haemophilus influenzae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=31#Vaccine_Information
OLAS:0000151,Haemophilus influenzae vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,Haemophilus influenzae,NCBITaxon:727,,,Vaccine animal model that uses rat for research of vaccine against Haemophilus influenzae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=31#Vaccine_Information
OLAS:0000152,Haemophilus influenzae vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Haemophilus influenzae,NCBITaxon:727,,,Vaccine animal model that uses rabbit for research of vaccine against Haemophilus influenzae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=31#Vaccine_Information
OLAS:0000153,Haemophilus parasuis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Haemophilus parasuis,NCBITaxon:738,,,Vaccine animal model that uses mouse for research of vaccine against Haemophilus parasuis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=178#Vaccine_Information
OLAS:0000154,Pasteurella multocida vaccine chicken animal model,vaccine animal model,vaccine animal model,chicken,NCBITaxon:9031,Pasteurella multocida,NCBITaxon:747,,,Vaccine animal model that uses chicken for research of vaccine against Pasteurella multocida.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=161#Vaccine_Information
OLAS:0000155,Pasteurella multocida vaccine cattle animal model,vaccine animal model,vaccine animal model,cattle,NCBITaxon:9913,Pasteurella multocida,NCBITaxon:747,,,Vaccine animal model that uses cattle for research of vaccine against Pasteurella multocida.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=161#Vaccine_Information
OLAS:0000156,Coxiella burnetii vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Coxiella burnetii,NCBITaxon:777,,,Vaccine animal model that uses mouse for research of vaccine against Coxiella burnetii.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=37#Vaccine_Information
OLAS:0000157,Coxiella burnetii vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Coxiella burnetii,NCBITaxon:777,,,Vaccine animal model that uses guinea pig for research of vaccine against Coxiella burnetii.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=37#Vaccine_Information
OLAS:0000158,Coxiella burnetii vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Coxiella burnetii,NCBITaxon:777,,,Vaccine animal model that uses monkey for research of vaccine against Coxiella burnetii.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=37#Vaccine_Information
OLAS:0000159,Coxiella burnetii vaccine goat animal model,vaccine animal model,vaccine animal model,goat,NCBITaxon:9925,Coxiella burnetii,NCBITaxon:777,,,Vaccine animal model that uses goat for research of vaccine against Coxiella burnetii.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=37#Vaccine_Information
OLAS:0000160,Rickettsia vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Rickettsia,NCBITaxon:780,,,Vaccine animal model that uses mouse for research of vaccine against Rickettsia.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=108#Vaccine_Information
OLAS:0000161,Chlamydia trachomatis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Chlamydia trachomatis,NCBITaxon:813,,,Vaccine animal model that uses mouse for research of vaccine against Chlamydia trachomatis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=208#Vaccine_Information
OLAS:0000162,Chlamydia trachomatis vaccine pig animal model,vaccine animal model,vaccine animal model,pig,NCBITaxon:9823,Chlamydia trachomatis,NCBITaxon:813,,,Vaccine animal model that uses pig for research of vaccine against Chlamydia trachomatis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=208#Vaccine_Information
OLAS:0000163,Staphylococcus aureus vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Staphylococcus aureus,NCBITaxon:1280,,,Vaccine animal model that uses mouse for research of vaccine against Staphylococcus aureus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=138#Vaccine_Information
OLAS:0000164,Streptococcus suis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Streptococcus suis,NCBITaxon:1307,,,Vaccine animal model that uses mouse for research of vaccine against Streptococcus suis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=273#Vaccine_Information
OLAS:0000165,Streptococcus agalactiae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Streptococcus agalactiae,NCBITaxon:1311,,,Vaccine animal model that uses mouse for research of vaccine against Streptococcus agalactiae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=139#Vaccine_Information
OLAS:0000166,Streptococcus pneumoniae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Streptococcus pneumoniae,NCBITaxon:1313,,,Vaccine animal model that uses mouse for research of vaccine against Streptococcus pneumoniae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=47#Vaccine_Information
OLAS:0000167,Streptococcus pyogenes vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Streptococcus pyogenes,NCBITaxon:1314,,,Vaccine animal model that uses mouse for research of vaccine against Streptococcus pyogenes.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=140#Vaccine_Information
OLAS:0000168,Streptococcus equi vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Streptococcus equi,NCBITaxon:1336,,,Vaccine animal model that uses mouse for research of vaccine against Streptococcus equi.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=81#Vaccine_Information
OLAS:0000169,Bacillus anthracis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Bacillus anthracis,NCBITaxon:1392,,,Vaccine animal model that uses mouse for research of vaccine against Bacillus anthracis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=7#Vaccine_Information
OLAS:0000170,Bacillus anthracis vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Bacillus anthracis,NCBITaxon:1392,,,Vaccine animal model that uses guinea pig for research of vaccine against Bacillus anthracis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=7#Vaccine_Information
OLAS:0000171,Bacillus anthracis vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Bacillus anthracis,NCBITaxon:1392,,,Vaccine animal model that uses monkey for research of vaccine against Bacillus anthracis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=7#Vaccine_Information
OLAS:0000172,Bacillus anthracis vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,Bacillus anthracis,NCBITaxon:1392,,,Vaccine animal model that uses macaque for research of vaccine against Bacillus anthracis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=7#Vaccine_Information
OLAS:0000173,Bacillus anthracis vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,Bacillus anthracis,NCBITaxon:1392,,,Vaccine animal model that uses rabbit for research of vaccine against Bacillus anthracis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=7#Vaccine_Information
OLAS:0000174,Clostridium tetani vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Clostridium tetani,NCBITaxon:1485,,,Vaccine animal model that uses mouse for research of vaccine against Clostridium tetani.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=41#Vaccine_Information
OLAS:0000175,Clostridium botulinum  vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Clostridium botulinum ,NCBITaxon:1491,,,Vaccine animal model that uses mouse for research of vaccine against Clostridium botulinum .,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=14#Vaccine_Information
OLAS:0000176,Clostridium botulinum  vaccine ducks animal model,vaccine animal model,vaccine animal model,ducks,NCBITaxon:8835,Clostridium botulinum ,NCBITaxon:1491,,,Vaccine animal model that uses ducks for research of vaccine against Clostridium botulinum .,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=14#Vaccine_Information
OLAS:0000177,Clostridium botulinum  vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Clostridium botulinum ,NCBITaxon:1491,,,Vaccine animal model that uses monkey for research of vaccine against Clostridium botulinum .,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=14#Vaccine_Information
OLAS:0000178,Listeria monocytogenes vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Listeria monocytogenes,NCBITaxon:1639,,,Vaccine animal model that uses mouse for research of vaccine against Listeria monocytogenes.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=136#Vaccine_Information
OLAS:0000179,Erysipelothrix rhusiopathiae vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Erysipelothrix rhusiopathiae,NCBITaxon:1648,,,Vaccine animal model that uses mouse for research of vaccine against Erysipelothrix rhusiopathiae.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=152#Vaccine_Information
OLAS:0000180,Mycobacterium avium vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Mycobacterium avium,NCBITaxon:1764,,,Vaccine animal model that uses mouse for research of vaccine against Mycobacterium avium.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=119#Vaccine_Information
OLAS:0000181,Mycobacterium avium vaccine cattle animal model,vaccine animal model,vaccine animal model,cattle,NCBITaxon:9913,Mycobacterium avium,NCBITaxon:1764,,,Vaccine animal model that uses cattle for research of vaccine against Mycobacterium avium.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=119#Vaccine_Information
OLAS:0000182,Mycobacterium avium vaccine goat animal model,vaccine animal model,vaccine animal model,goat,NCBITaxon:9925,Mycobacterium avium,NCBITaxon:1764,,,Vaccine animal model that uses goat for research of vaccine against Mycobacterium avium.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=119#Vaccine_Information
OLAS:0000183,Mycobacterium bovis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Mycobacterium bovis,NCBITaxon:1765,,,Vaccine animal model that uses mouse for research of vaccine against Mycobacterium bovis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=290#Vaccine_Information
OLAS:0000184,Mycobacterium bovis vaccine cattle animal model,vaccine animal model,vaccine animal model,cattle,NCBITaxon:9913,Mycobacterium bovis,NCBITaxon:1765,,,Vaccine animal model that uses cattle for research of vaccine against Mycobacterium bovis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=290#Vaccine_Information
OLAS:0000185,Mycobacterium tuberculosis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Mycobacterium tuberculosis,NCBITaxon:1773,,,Vaccine animal model that uses mouse for research of vaccine against Mycobacterium tuberculosis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=29#Vaccine_Information
OLAS:0000186,Mycobacterium tuberculosis vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,Mycobacterium tuberculosis,NCBITaxon:1773,,,Vaccine animal model that uses rat for research of vaccine against Mycobacterium tuberculosis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=29#Vaccine_Information
